batch_num,src_lang,tgt_lang
3,"Mem si li viz ousi pou dir ki meyer fason koze, se lekritir ki vinn so premie sours referans","""Even though speech can also be a way to communicate more effectively, it is writing that becomes their first source of reference"""
3,"Laparol an limem, li konsidere kouma domenn expresion familie kot ena boukou varyasion ek inprovizasion; par kon t, lekritir nesesit bann regleman fix ki rekonet par kolektivite ouswa par bann lotorite (akademik, siantifik ouswa politik)","""Language in itself is considered as a domain of family expression where there are many variations and improvisations; therefore, writing requires fixed rules that are recognized by the community or by authorities (academic, scientific or political)"""
3,"Se pou sa rezon‐la ki dan mazorite ka, gramer tradisionel pran bann lexanp ki sorti depi text bann gran ekrivin","""This is the reason why in most cases traditional grammar takes examples from the texts of great writers"""
3,"(iii) Li akord plis linportans morfolozi ki sintax (get explikasion pli lwin) Gramer tradisionel inspir li lor leritaz ki finn gagne depi antikite grek ek latin kot akord plis linportans morfolozi (letid lor form ek formasion bann mo) plito ki sintax (letid lor plas, lord ek fonksion bann mo dan","""(iii) It gives more importance to morphology than syntax (for further explanation) Traditional grammar is inspired by the heritage that has been received from ancient Greek and Latin where more importance is given to morphology (study of form and formation of words) rather than syntax (study of place, order and function of words in a sentence)"""
3,bann fraz),"""The importance of morphology in Greek and Latin grammar is linked to the structure of these two languages"""
3,"Linportans ki morfolozi ena pou gramer grek ek latin, li lie ek striktir sa de lang‐la","""On the other hand, they are synthetic languages, while modern languages are more analytical, where syntax plays a more important role than morphology"""
3,"Toule de, zot bann lang sintetik , alor ki bann lang modern zot plito analitik , kot sintax zwe enn rol pli inportan ki morfolozi","""By morphology, we understand: the study of form and formation of words, that is, the distinction between nouns, verbs, adjectives, adverbs, etc."""
3,"Morfolozi Par morfolozi , nou konpran: letid form ek formasion ba nn mo, setadir distinksion ant nom, verb, azektif, adverb, etc",""": the way they form change (masculine/feminine, singular/plural), the way they form themselves (building new words from prefixes, suffixes, roots, compound words, etc."""
3,": fason zot form sanze (maskilin/feminin, singilie/pliryel), fason zot forme (konstriksion nouvo mo apartir bann prefix, bann sifix, bann anprin, bann mo‐konpoze, etc","""By syntax, we understand: the study of function and arrangement of words in a sentence."
6,"De plis, zot lanaliz pran an konsiderasion bann kontext itilizasion","- ""Furthermore, their analysis takes into consideration the context of usage"""
6,"(iii) Zot akord plis linportans sintax ki morfolozi (sirtou dan ka gramer striktiral ek laparol) Alor ki gramer tradisionel, ki finn inspire dabor par letid bann lang klasik kouma Grek ek Latin, finn touletan akord plis linportans morfolozi ki sintax, bann lapros modern ki etidie sirtou bann lang modern, finn ena tandans konsidere ki sintax ena enn pli gran rol dan konpreansion gramer enn lang ki morfolo zi","
- ""(iii) They attach more importance to syntax than morphology (especially in strict grammar and speech) whereas traditional grammar, initially inspired by classical languages such as Greek and Latin, has always given more importance to morphology than syntax, modern linguistic trends, which mainly study modern languages, tend to consider that syntax plays a greater role in understanding the grammar of a language than morphology."""
6,"Zot konsidere ki se bann fraz ki dimounn itilize (plito ki form ek natir bann mo‐la an zotmem) ki donn bann mo zot fonksion, e donk zot linportans","
- ""They consider that the phrases people use (more than their form and nature of the words themselves) determine their functions, and thus their importance."""
6,"Par exanp, enn mo ki enn azektif dan so morfolozi kapav san problem servi kouma enn nom ouswa enn adverb dan enn fraz","
- ""For example, a word that is an adjective in its morphology may without problem be used as a noun or an adverb in a sentence."""
6,"Si nou pran mo fran se « dur », par exanp, li enn azektif onivo so kategori gramatikal (ex","
- ""If we take the word ""dur"" (that means ""hard"" in English), for example, it is an adjective by its grammatical category (e.g. ""un travail dur; une fille dure"")"
6,: un travail dur; une fille dure ),"
- ""But in the examples ""C’est un dur"" or ""Elle travaille dur"", ""dur"" was used as a noun and an adverb respectively."""
6,"Me dan lexanp « C’est un dur » ouswa « Elle travaille dur », « dur » finn servi kouma enn nom ek enn adv erb respektivman","
- ""Morphology does not allow to render this dimension, while syntax makes it possible."""
6,"Morfolozi pa permet rann kont sa dimansion ‐la, alor ki sintax permet fer li","
- ""In creole languages, where the degree of elasticity is even greater, words change categories in a freer way than in French and other languages with stricter rules."""
6,"Dan ka bann lang kreol, kot degre elastisite li ankor pli for, bann mo sanz kategori, dan enn fason pli lib ki an Franse ek bann lezot lang ki ena bann striktir pli rizid","
- ""This is why a syntactic approach is often more efficient in identifying the grammatical categories of words rather than morphology."""
11,Bickerton pou devlop so teori apartir lexanp Kreol Awayin,Bickerton will develop his theory based on the example of Creole Way.
11,Nou bizin rekonet ki evolision bann teori lingwistik eropeen finn inflians evolision bann perspektiv analiz lor ba nn lang onivo internasional,We need to recognize that the evolution of European linguistic theories has influenced the evolution of analytical perspectives on an international language level.
11,"Rekonesans bann kreol antan ki bann lang « à part entière », se dabor rezilta letid ki bann lingwist finn amene selon perspektiv striktiral","""Recognizing creoles as full-fledged languages is primarily the result of linguistic studies that scholars have brought according to a structural perspective."""
