batch_num,src_lang,tgt_lang
0,BILAN BANN LAPROS EK LETID LOR GRAMER,OVERVIEW OF LANGUAGE AND LITERACY GRAMMAR
0,ANT LAPROS TRADISIONEL EK LAPROS MODERN ,BETWEEN TRADITIONAL LANGUAGE AND MODERN LANGUAGE
0,‘Gramer’ : ala enn mo ki souvan fer dimounn per,'Grammar': a word that often makes people fearful
0,"Dan lespri boukou, li enn zafer konplike, ki fatig latet, ki aprann dan lekol, ki bon pou bann ki kontan lir ek ekrir, ouswa ki bizin fer li","""In many minds, it is a complex matter, exhausting for the brain, learned in school, good for those who enjoy reading and writing, or those who need to do it"""
0,"Li bon pou zanfan lekol; li bon pou profeser lang, pou bann intelektiel, bann ekrivin, et c","""It is good for school children; it is good for language teachers, for intellectuals, writers, etc."""
0,"Me pa oblize konn li, ouswa aprann li, pou fer konversasion ordiner","""But it is not necessary to know it, or to learn it, for everyday conversation"""
0,Ena ousi dimounn ki panse ki zis bann lang ki servi pou ekrir ki ena gramer,There are also people who think that only languages used for writing have grammar
0,"Ki bann lang ki itilize sirtou pou koze, kouma laplipar bann lang kreol ki finn servi ziska ler, zot pena gramer","""Languages primarily used for speaking, like most Creole languages that have been used up to now, do not have grammar"""
0,"Enn kestion souvan revini isi: kouma enn lang kot sakenn pe koz so fason, pe pronons bann mo dan so manier, pe ekrir (kan lokazion prezante) dan bann kod grafik personel ek diferan, kouma sa lang‐la kapav ena gramer? Anfet, mazorite dimounn pa kone exakteman ki vedir ‘gramer’","""A question that often arises here: how can a language where everyone speaks their way, pronounces words in their own way, writes (when required) in personal and different graphic codes, how can that language have grammar? In fact, the majority of people do not exactly know what 'grammar' means"""
0,"An realite, ena bouk ou konfizion otour sinifikasion mo‐la limem, e se sa konfizion ‐la, dan boukou laspe, ki responsab bann move interpretasion ek move reprezantasion ki dimounn ena lor nosion gramer","""In reality, there is a lot of confusion about the meaning of the word 'grammar', and it is this confusion, in many cases, that is responsible for the bad interpretations and representations that people have about the notion of grammar"""
1,Se pou sa rezon‐la ki li neseser koumans nou reflexion lor gramer Kreol Morisyen par enn interogasion lor bann diferan sinifikason ki term ‘gramer’ finn ena ziska ler,"For this reason, it is necessary to start our reflection on the grammar of Mauritian Creole through an interrogation on the different meanings that the term ""grammar"" has had up to now."
1,Lorizinn term ‘gramer’ Term ‘gramer’ sorti depi mo grek “grammatike” ki vedir ‘lar ki permet dimounn lir ek ekrir kouma bizin ’,"

The origin of the term ""grammar"" comes from the Greek word ""grammatike"" which means 'the art that allows people to read and write as needed'."
1,"Mem si finn ena diferan sistem, depi lorizinn lekritir ( an avan nou lepok dan Lorian), kot finn montre dimounn kouma ekrir, se bann Grek ki finn devlop an premie, enn konsians lor ki ete gramer, dan sans ki nou fin n konpran li dan lepok modern, avek klasifikasion bann mo an kategori, deskripsion bann reg pou kontriksion fraz, pou konzigezon verb, etc","

""Even though there were different systems, starting from the origin of writing (before our time in Mauritius), where people were taught how to write, it was the Greeks who first developed an awareness of what grammar is, in the sense that we understand it in modern times, with the classification of words into categories, description of rules for sentence construction, verb conjugation, etc."""
1,"Zot ti fer li pou enn rezon presi, ki ti lie ek prezervasion ‘pirte’ lang grek, tel ki li pratike dan pe ryod antik, sirtou dan lepok Homère (ki bann Grek konsidere kouma premie poet ki Lerop finn kone)","

""They did it for a precise reason, which was linked to the preservation of the purity of the Greek language, as practiced in ancient times, especially in the time of Homer (whom the Greeks consider as the first poet known in Europe)."""
